x,y,z,d
-0.06,-0.1682219,0.16325443,0.119137116
-0.31,-0.1182219,0.41325443,0.119667575
0.29,-0.1182219,0.21325443,0.12029883
-0.01,-0.1682219,0.11325443,0.12052514
0.29,0.0317781,0.11325443,0.12074023
-0.16,0.4817781,0.36325443,0.12097318
-0.11,0.7317781,0.56325443,0.1212866
-0.06,0.1317781,0.46325443,0.12129979
-0.26,-0.4682219,0.71325443,0.12254891
0.19,-0.3682219,0.21325443,0.12535608
-0.21,0.7317781,0.31325443,0.12540641
0.19,0.5317781,0.56325443,0.12548333
0.44,-0.6682219,0.71325443,0.12618059
-0.11,-0.3682219,0.76325443,0.12642261
0.19,-0.2182219,0.31325443,0.12719792
0.09,-0.9682219,0.56325443,0.1290224
0.24,-0.0682219,0.36325443,0.1292432
0.14,-0.1182219,0.11325443,0.13108042
0.14,-0.1182219,0.16325443,0.13132313
-0.21,-0.1182219,0.56325443,0.13258493
0.29,0.0317781,0.26325443,0.13321194
0.44,-0.6182219,0.71325443,0.13406035
0.09,-0.1182219,0.11325443,0.1345866
-0.21,-0.0682219,0.41325443,0.13515252
0.24,-0.4682219,0.96325443,0.13685477
-0.11,-0.4182219,0.81325443,0.13703507
-0.01,-0.0182219,0.51325443,0.1371267
0.14,0.3817781,0.61325443,0.13773255
0.14,-0.2682219,0.71325443,0.13839538
0.24,0.4317781,0.41325443,0.13858888
0.34,0.3317781,0.26325443,0.1388773
-0.11,-0.4682219,0.96325443,0.13907388
0.09,0.8317781,0.76325443,0.13910937
-0.16,0.0317781,0.51325443,0.14040695
-0.16,0.6817781,0.76325443,0.14082775
0.24,-0.1182219,0.81325443,0.14151758
0.24,0.5317781,0.41325443,0.14166203
0.14,0.4817781,0.31325443,0.14422482
-0.16,0.4817781,0.71325443,0.14471479
-0.21,-0.1182219,0.21325443,0.14647199
0.04,0.3817781,0.66325443,0.14802234
-0.01,0.3817781,0.66325443,0.14885646
0.24,0.5817781,0.41325443,0.14901906
0.09,-0.0682219,0.46325443,0.14998698
0.09,-0.1182219,0.46325443,0.15145995
0.24,0.4817781,0.61325443,0.15192498
-0.21,-0.0182219,0.51325443,0.15218759
